"","camera_Rank","camera_p.value","gage_Rank","gage_p.value","globaltest_Rank","globaltest_p.value","gsva_Rank","gsva_p.value","ssgsea_Rank","ssgsea_p.value","zscore_Rank","zscore_p.value","ora_Rank","ora_p.value","padog_Rank","padog_p.value","roast_Rank","roast_p.value","safe_Rank","safe_p.value","camera_adj_p.value","gage_adj_p.value","globaltest_adj_p.value","gsva_adj_p.value","ssgsea_adj_p.value","zscore_adj_p.value","ora_adj_p.value","padog_adj_p.value","roast_adj_p.value","safe_adj_p.value","combined_p.value","Avg_Rank"
"hsa00010_Glycolysis___Gluconeogenesis",144,0.54273009372071,202,0.789370308990565,126,0.00793650793650794,195,0.423398074865781,140,0.153901831016537,256,0.703192306748709,208,0.460793913599266,31,0.07,273,0.738,16,0.06,0.99400247320935,0.998519813823545,0.0124594640723673,0.6323385050953,0.320610970141383,0.802078724885246,0.645424562234203,0.598974358974359,0.789362637362637,0.776595744680851,0.759118337972742,159.1
"hsa00020_Citrate_cycle_(TCA_cycle)",37,0.190341795933133,107,0.531409952124104,259,0.0476190476190476,134,0.202360565541414,127,0.111400774343901,189,0.221608576427252,231,1,205,0.72,218,0.261,152,0.46,0.99400247320935,0.998519813823545,0.0528698171283723,0.440964814463381,0.256134063845819,0.336972724759251,1,1,0.349596330275229,0.859777777777778,0.785705120679028,165.9
"hsa00030_Pentose_phosphate_pathway",280,0.969219845898905,220,0.839806331111162,116,0.00793650793650794,231,0.611152626434029,211,0.454028139202852,205,0.277474491770435,175,0.244627391820535,121,0.4,208,0.195,67,0.19,0.994567650694826,0.998519813823545,0.0124594640723673,0.762441910145844,0.628323301645653,0.395231959009596,0.404658210383062,0.965289256198347,0.27375,0.776595744680851,0.647144160081584,183.4
"hsa00040_Pentose_and_glucuronate_interconversions",66,0.284567101333098,152,0.660370432925589,204,0.0158730158730159,194,0.416139604347571,33,0.00273846154654903,291,0.978476470869669,232,1,109,0.34,261,0.639,77,0.21,0.99400247320935,0.998519813823545,0.0215577703949797,0.626354456028302,0.0242312355027975,0.981838932968878,1,0.904424778761062,0.712167938931298,0.776595744680851,0.621158108327946,161.9
"hsa00051_Fructose_and_mannose_metabolism",95,0.387328021664385,221,0.847366616188943,252,0.0317460317460317,110,0.14470575764893,126,0.110711732857594,276,0.863481192270142,233,1,221,0.8,279,0.856,257,0.84,0.99400247320935,0.998519813823545,0.036785084404132,0.380957618275367,0.256134063845819,0.913538072981454,1,1,0.895885304659498,0.947328244274809,0.923325248480331,207
"hsa00052_Galactose_metabolism",222,0.77091039272698,2,0.0191005027086217,45,0.00793650793650794,153,0.256330961849946,275,0.862552666953118,186,0.21013880952902,234,1,54,0.13,200,0.17,24,0.08,0.994567650694826,0.998519813823545,0.0124594640723673,0.486610789094064,0.915874104546584,0.329895335389644,1,0.690181818181818,0.2482,0.776595744680851,0.675376383982099,139.5
"hsa00053_Ascorbate_and_aldarate_metabolism",16,0.106367548388593,138,0.631093406270825,120,0.00793650793650794,92,0.0949164839745629,18,0.000984638653712323,208,0.286446200754024,235,1,99,0.31,182,0.114,90,0.24,0.99400247320935,0.998519813823545,0.0124594640723673,0.301256666527961,0.015973027049111,0.402126397212379,1,0.887450980392157,0.180913043478261,0.776595744680851,0.184942058149759,119.8
"hsa00061_Fatty_acid_biosynthesis",106,0.408183715203232,232,0.878060734762902,274,0.0873015873015873,93,0.098310469638389,137,0.145206413659725,120,0.0377684301282534,21,0.000212061519733581,193,0.67,159,0.062,150,0.45,0.99400247320935,0.998519813823545,0.0920291100796516,0.30867373262806,0.309491042252844,0.0919031799787499,0.00281436794592669,1,0.11315,0.859777777777778,0.0597966013738869,148.5
"hsa00062_Fatty_acid_elongation",87,0.367977307650782,36,0.252719440806548,6,0.00793650793650794,174,0.327746025484664,123,0.106186852478692,143,0.0679990188100772,236,1,107,0.33,29,0.001,282,0.96,0.99400247320935,0.998519813823545,0.0124594640723673,0.550010571502999,0.252085861168928,0.138851143304493,1,0.900560747663551,0.00941935483870968,0.993824561403509,0.158104208228284,122.3
"hsa00071_Fatty_acid_degradation",190,0.662365335380624,249,0.912013640712694,190,0.0158730158730159,150,0.248190537722857,232,0.612180366832824,136,0.058890847455761,74,0.00794561836265606,74,0.23,177,0.104,7,0.03,0.99400247320935,0.998519813823545,0.0215577703949797,0.483144246767162,0.766663284650083,0.126442113655016,0.0309349408252743,0.887450980392157,0.171570621468927,0.776595744680851,0.200171470787194,147.9
"hsa00072_Synthesis_and_degradation_of_ketone_bodies",49,0.231628528775715,111,0.545257186925363,219,0.0238095238095238,5,0.00134958555185291,102,0.0648616239095643,104,0.0184227846607534,237,1,100,0.31,1,0.001,32,0.1,0.99400247320935,0.998519813823545,0.0292116846738695,0.0706564887557592,0.185682295897968,0.0517255107782691,1,0.887450980392157,0.00941935483870968,0.776595744680851,0.0460731147737301,96
"hsa00100_Steroid_biosynthesis",164,0.597684982267015,115,0.559900778931137,279,0.111111111111111,244,0.642980785956601,83,0.0323340659193802,180,0.174640348056823,238,1,245,0.87,162,0.066,254,0.83,0.99400247320935,0.998519813823545,0.116288331342095,0.768390403265241,0.113158357569935,0.28179209439559,1,1,0.118962962962963,0.947328244274809,0.710246265216631,196.4
"hsa00120_Primary_bile_acid_biosynthesis",30,0.157386266788053,234,0.886001685325613,171,0.00793650793650794,14,0.00484477840139356,29,0.00223447293603937,177,0.13791263698027,239,1,218,0.79,138,0.041,268,0.87,0.99400247320935,0.998519813823545,0.0124594640723673,0.0943187747676071,0.0224988309421895,0.227516892645417,1,1,0.0867536231884058,0.947910447761194,0.0867074612023147,151.8
"hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis",148,0.557651605049181,116,0.56101052869892,63,0.00793650793650794,204,0.469099838217035,236,0.628361517794207,190,0.221718373379618,240,1,86,0.27,205,0.183,80,0.22,0.99400247320935,0.998519813823545,0.0124594640723673,0.671456631173403,0.77746425083012,0.336972724759251,1,0.887450980392157,0.259398058252427,0.776595744680851,0.734787890795062,156.8
"hsa00140_Steroid_hormone_biosynthesis",67,0.28700248815933,215,0.833033709855903,158,0.00793650793650794,162,0.290966765346112,45,0.00547155555995172,287,0.951273522890424,201,0.402258700492829,239,0.86,259,0.631,239,0.78,0.99400247320935,0.998519813823545,0.0124594640723673,0.521923339783485,0.0351168994255181,0.967165554902439,0.581482873979733,1,0.711397683397683,0.9450622406639,0.539477103645503,187.2
"hsa00190_Oxidative_phosphorylation",93,0.381189910981488,99,0.510483552086832,153,0.00793650793650794,111,0.145693044161515,176,0.267310437748467,51,0.00215608227548067,192,0.334502901015216,124,0.42,111,0.02,169,0.51,0.99400247320935,0.998519813823545,0.0124594640723673,0.380957618275367,0.441781395313976,0.012344627930203,0.508723161960641,0.989032258064516,0.0521428571428571,0.859777777777778,0.0933775550754976,127.9
"hsa00230_Purine_metabolism",262,0.915239219694235,285,0.98625256367345,203,0.0158730158730159,276,0.86620357765461,212,0.458820723783439,102,0.0176713714386202,230,0.800750807157661,287,1,96,0.013,290,1,0.994567650694826,0.998519813823545,0.0215577703949797,0.9164182778085,0.631960619550775,0.0505886319615402,1,1,0.0395416666666667,1,0.38491402461378,224.3
"hsa00232_Caffeine_metabolism",167,0.605646715170383,144,0.646933532111274,199,0.0158730158730159,140,0.22483393247327,90,0.0389959752638139,265,0.759309000210247,241,1,91,0.28,266,0.675,40,0.13,0.99400247320935,0.998519813823545,0.0215577703949797,0.467487075692495,0.124296700013593,0.836672558722235,1,0.887450980392157,0.739295880149813,0.776595744680851,0.771511844647848,164.3
